update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1234.8184942431,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9180853813886642,0.1765817329287529,0.12598573602735996,0.046421448700129986,0.13858939043533278,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,2321.2764555919407,2,-2.852024905383587,2.117709392990733,-7.145999908447266,-0.32760000228881836,250.0,0.0,250.0,250.0,1.8779379725456238,-0.041013822075910866,0.2880824264138937,0.21415144205093384,0.23371752779039007,-2.852024905383587,2.117709392990733,-7.145999908447266,-0.32760000228881836
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,2453.1441871463403,3,-2.691899912431836,2.2496530574603595,-7.145999908447266,0.3084000051021576,242.0,30.983866769659336,122.0,250.0,1.843233808875084,-0.08784881327301264,0.06810107827186584,0.03307483741082251,0.0714103289917691,-2.691899912431836,2.2496530574603595,-7.145999908447266,0.3084000051021576
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,2376.4209091220955,4,-1.2344249885063618,1.0928320701928005,-3.488800048828125,0.3084000051021576,242.0,30.983866769659336,122.0,250.0,1.8291139006614685,-0.16232434287667274,0.0626015798188746,0.05152407940477133,0.1231966082298026,-1.2344249885063618,1.0928320701928005,-3.488800048828125,0.3084000051021576
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,2450.169642594826,5,-1.322799988789484,1.0191858148902917,-3.488800048828125,0.04639999940991402,250.0,0.0,250.0,250.0,1.8644220530986786,-0.18509551510214806,0.02864763722755015,0.02623984729871154,0.0750639814160603,-1.322799988789484,1.0191858148902917,-3.488800048828125,0.04639999940991402
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
