update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1162.4262269170706,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9423634111881256,0.0619162917137146,0.01045871595852077,0.00018544065824244171,0.011917271641112755,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,2352.4425583377333,2,0.02357500046491623,0.09130558418745266,0.0,0.37720000743865967,245.1875,18.638732353623194,173.0,250.0,1.9442700445652008,0.04846696276217699,0.014592562802135944,0.0005556301257456653,0.006802898119702994,0.02357500046491623,0.09130558418745266,0.0,0.37720000743865967
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,2435.1117415802323,3,0.02357500046491623,0.09130558418745266,0.0,0.37720000743865967,245.1875,18.638732353623194,173.0,250.0,1.9444926530122757,0.04109020857140422,0.006968293571844697,2.5678143629193073e-05,0.0032655565730827104,0.02357500046491623,0.09130558418745266,0.0,0.37720000743865967
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,2345.8569344086304,4,0.05480000004172325,0.14659283721691696,0.0,0.49959999322891235,238.25,31.663267361407918,139.0,250.0,1.9384214133024216,0.0325289792381227,0.006110466259997338,0.0009178464915748918,0.005860881892176269,0.05480000004172325,0.14659283721691696,0.0,0.49959999322891235
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,2317.1543811141037,5,0.02357500046491623,0.09130558418745266,0.0,0.37720000743865967,245.1875,18.638732353623194,173.0,250.0,1.9438097774982452,0.026911514345556498,0.004527122247964144,2.42570847603929e-05,0.0015034561166455628,0.02357500046491623,0.09130558418745266,0.0,0.37720000743865967
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,2291.444202908796,6,0.08782499842345715,0.19202478529529593,0.0,0.6579999923706055,230.8125,43.1454208897074,95.0,250.0,1.9419469088315964,0.030923754908144474,-0.003486186047666706,0.0014326946547953412,0.016339921209284167,0.08782499842345715,0.19202478529529593,0.0,0.6579999923706055
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,2391.454450241082,7,0.08984999917447567,0.19543407265285398,0.0,0.6579999923706055,230.25,44.02343126109095,95.0,250.0,1.9361777901649475,0.0330986890476197,0.002847700256097596,0.0006756643888365943,0.006854238829765311,0.08984999917447567,0.19543407265285398,0.0,0.6579999923706055
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,2348.544927815186,7,0.02694999985396862,0.10437690061471278,0.0,0.4311999976634979,244.25,22.269654240692645,158.0,250.0,1.9372082948684692,0.025445062667131424,0.007511560164857656,0.00011359774634911446,0.0039555358361528375,0.02694999985396862,0.10437690061471278,0.0,0.4311999976634979
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,2373.9639646660826,8,0.04804999940097332,0.12728753693909028,0.0,0.4023999869823456,240.125,26.18653041164484,166.0,250.0,1.9377069920301437,0.02828590851277113,-0.0022692661459586816,0.00046117026613501366,0.006920715392250329,0.04804999940097332,0.12728753693909028,0.0,0.4023999869823456
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,2319.3723314864615,9,0.09294999949634075,0.16148893839355033,0.0,0.4023999869823456,231.125,32.88022772123089,166.0,250.0,1.939344361424446,0.02786408574320376,0.0037554541195277125,0.0004923288106510881,0.007520842744259874,0.09294999949634075,0.16148893839355033,0.0,0.4023999869823456
11,22528,2334.177590691914,10,0.05970000009983778,0.12707482094257835,0.0,0.38440001010894775,238.625,24.798878502867826,171.0,250.0,1.9402843713760376,0.01928132609464228,0.0009326517465524375,0.00015151689240155974,0.0038841635202898424,0.05970000009983778,0.12707482094257835,0.0,0.38440001010894775
12,24576,2005.8814554730623,11,0.03589999955147505,0.09663948327913817,0.0,0.3375999927520752,243.5,17.89553016817328,184.0,250.0,1.9392943978309631,0.017418689792975783,0.002247544704005122,0.0002785866818157956,0.007623580652259515,0.03589999955147505,0.09663948327913817,0.0,0.3375999927520752
