update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
16,2048,2730.7083339691258,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9409971237182617,0.01685430109500885,-0.0018921834416687489,5.942005373071879e-05,"tensor(0.0032, device='cuda:0')",0.0,0.0,0,0
17,2176,2730.6666666666665,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9415223598480225,0.011787697672843933,-0.0009203590452671051,5.0359685701550916e-05,"tensor(0.0014, device='cuda:0')",0.0,0.0,0,0
18,2304,2566.8444223450438,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9413725137710571,0.011315824463963509,-0.00406059343367815,7.995282066985965e-05,"tensor(0.0045, device='cuda:0')",0.0,0.0,0,0
19,2432,2619.25302603783,2,0.0,0.0,0,0,0.0,0.0,0,0,1.941590428352356,0.0038848011754453182,-2.2596155758947134e-05,5.565396713791415e-05,"tensor(0.0022, device='cuda:0')",0.0,0.0,0,0
20,2560,2619.2146906436915,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9417016506195068,0.005978873930871487,-0.0020801147911697626,0.00016921540373004973,"tensor(0.0042, device='cuda:0')",0.0,0.0,0,0
21,2688,2139.0216782408793,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9412262439727783,-0.005831084679812193,0.0054066963493824005,0.00037661060923710465,"tensor(0.0116, device='cuda:0')",0.0,0.0,0,0
22,2816,2619.2019124283447,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9407415390014648,0.009156398475170135,-0.0023978084791451693,0.00015580144827254117,"tensor(0.0037, device='cuda:0')",0.0,0.0,0,0
23,2944,2619.2019124283447,2,0.0,0.0,0,0,0.0,0.0,0,0,1.940288782119751,0.0052722664549946785,-0.002924571046605706,0.0001249601918971166,"tensor(0.0039, device='cuda:0')",0.0,0.0,0,0
24,3072,2673.8063937765514,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9402635097503662,-0.0005571867222897708,0.006145610474050045,0.0001548946602270007,"tensor(0.0071, device='cuda:0')",0.0,0.0,0,0
25,3200,2619.1891343376788,2,0.0,0.0,0,0,0.0,0.0,0,0,1.941150426864624,0.014236762188374996,-0.004897213540971279,0.00019337577396072447,"tensor(0.0058, device='cuda:0')",0.0,0.0,0,0
26,3328,2619.240247448432,2,0.0,0.0,0,0,0.0,0.0,0,0,1.940435528755188,0.0016899965703487396,0.008238032460212708,0.00017150965868495405,"tensor(0.0091, device='cuda:0')",0.0,0.0,0,0
27,3456,2730.7361128772195,2,0.0,0.0,0,0,0.0,0.0,0,0,1.941014289855957,0.021086469292640686,-0.007704342715442181,0.00010643954738043249,"tensor(0.0076, device='cuda:0')",0.0,0.0,0,0
28,3584,2730.6805556261984,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9413701295852661,0.004818703047931194,-0.0022503212094306946,0.00010636069055180997,"tensor(0.0039, device='cuda:0')",0.0,0.0,0,0
29,3712,2376.754936161924,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9423446655273438,0.0018226044485345483,0.003623254131525755,4.452962821233086e-05,"tensor(0.0037, device='cuda:0')",0.0,0.0,0,0
30,3840,2212.7874306534445,2,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,14.6875,56.88444289742144,0.0,235.0,1.9422266483306885,0.008735308423638344,0.006121611688286066,0.0005416806088760495,"tensor(0.0089, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
31,3968,2291.822637723848,2,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,14.6875,56.88444289742144,0.0,235.0,1.9413148164749146,0.023803438991308212,0.0015355353243649006,5.0659102271310985e-05,"tensor(0.0027, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
32,4096,1527.8795843851296,2,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9415677785873413,0.02572719007730484,-0.012342969886958599,0.00019237890955992043,"tensor(0.0118, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
33,4224,2333.501014904095,2,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9420641660690308,0.00571712851524353,-0.0014417592901736498,4.9470709200249985e-05,"tensor(0.0022, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
34,4352,2852.0402675293903,2,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9422149658203125,0.0013923558872193098,-0.0002541821449995041,3.076231951126829e-05,"tensor(0.0014, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
35,4480,2790.0703245990585,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9428069591522217,0.00224694749340415,-0.0017683738842606544,3.0733128369320184e-05,"tensor(0.0022, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
36,4608,2730.750002543209,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9429609775543213,-0.002383536659181118,0.0003724780399352312,3.0218692700145766e-05,"tensor(0.0011, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
37,4736,2790.0558249273736,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9427191019058228,-0.0004198867245577276,-2.201381721533835e-05,2.6610417990013957e-05,"tensor(0.0012, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
38,4864,2852.085721267757,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9432964324951172,0.0008465683786198497,-0.0025205486454069614,3.5456803743727505e-05,"tensor(0.0026, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
39,4992,2852.009965842023,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.942893385887146,-0.004676354117691517,-0.0011292451526969671,2.4248009140137583e-05,"tensor(0.0019, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
40,5120,2790.0703245990585,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9432591199874878,-0.006151536479592323,-0.0005638423608615994,3.5222921724198386e-05,"tensor(0.0012, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
41,5248,2730.722223352526,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9433602094650269,-0.007217655424028635,0.0011784767266362906,2.2626234567724168e-05,"tensor(0.0016, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
42,5376,2790.0558249273736,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9434871673583984,-0.004362445790320635,0.0008661954198032618,1.7933087292476557e-05,"tensor(0.0012, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
43,5504,2852.085721267757,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.943686604499817,-0.00410874467343092,0.0006798771792091429,2.4169537937268615e-05,"tensor(0.0014, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
44,5632,2790.041325406394,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.943678617477417,-0.0014267286751419306,0.0002394757466390729,3.9567603380419314e-05,"tensor(0.0018, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
45,5760,2730.6944447270175,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9432969093322754,-0.002297438448294997,0.003704433562234044,7.004947838140652e-05,"tensor(0.0045, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
46,5888,2852.085721267757,3,0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497,249.0625,3.6309218870694533,235.0,250.0,1.9434467554092407,0.004641018807888031,-0.0008016839274205267,2.465873876644764e-05,"tensor(0.0017, device='cuda:0')",0.009624999947845936,0.037277464505254564,0.0,0.15399999916553497
47,6016,2673.753128844133,3,0.03460000082850456,0.13400522698756098,0.0,0.553600013256073,242.125,30.499743851383407,124.0,250.0,1.9434733390808105,0.0022100191563367844,0.04356684163212776,0.010849686339497566,"tensor(0.0469, device='cuda:0')",0.03460000082850456,0.13400522698756098,0.0,0.553600013256073
48,6144,2790.041325406394,3,0.03460000082850456,0.13400522698756098,0.0,0.553600013256073,242.125,30.499743851383407,124.0,250.0,1.9381358623504639,0.08799082040786743,-0.0036209304817020893,8.26769246486947e-05,"tensor(0.0041, device='cuda:0')",0.03460000082850456,0.13400522698756098,0.0,0.553600013256073
49,6272,1887.3800311475006,3,0.03460000082850456,0.13400522698756098,0.0,0.553600013256073,242.125,30.499743851383407,124.0,250.0,1.9378747940063477,0.08096099644899368,-0.006871525198221207,4.5272561692399904e-05,"tensor(0.0065, device='cuda:0')",0.03460000082850456,0.13400522698756098,0.0,0.553600013256073
50,6400,2730.6805556261984,3,0.03460000082850456,0.13400522698756098,0.0,0.553600013256073,242.125,30.499743851383407,124.0,250.0,1.9392380714416504,0.06272605806589127,-0.003759391838684678,5.4117728723213077e-05,"tensor(0.0041, device='cuda:0')",0.03460000082850456,0.13400522698756098,0.0,0.553600013256073
51,6528,2730.65277784842,3,0.03460000082850456,0.13400522698756098,0.0,0.553600013256073,242.125,30.499743851383407,124.0,250.0,1.9397261142730713,0.05432627350091934,-0.005876250099390745,6.614183803321794e-05,"tensor(0.0063, device='cuda:0')",0.03460000082850456,0.13400522698756098,0.0,0.553600013256073
52,6656,2673.7797610450666,3,0.03460000082850456,0.13400522698756098,0.0,0.553600013256073,242.125,30.499743851383407,124.0,250.0,1.941196322441101,0.040112800896167755,-0.0011502639390528202,5.1265538786537945e-05,"tensor(0.0024, device='cuda:0')",0.03460000082850456,0.13400522698756098,0.0,0.553600013256073
53,6784,2984.7386586016723,4,0.03460000082850456,0.13400522698756098,0.0,0.553600013256073,242.125,30.499743851383407,124.0,250.0,1.941056489944458,0.039046429097652435,-0.005028345622122288,3.919480150216259e-05,"tensor(0.0048, device='cuda:0')",0.03460000082850456,0.13400522698756098,0.0,0.553600013256073
