update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1236.7250223915162,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9330708235502243,-0.04949264647439122,0.12924845982342958,0.07119040144607425,0.07926453872973338,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,2447.680667278734,2,-1.7999749910086393,1.289782717281631,-3.862799644470215,0.12200003862380981,250.0,0.0,250.0,250.0,1.908226728439331,-0.1458371076732874,0.09335390664637089,0.05750481691211462,0.06997645441772818,-1.7999749910086393,1.289782717281631,-3.862799644470215,0.12200003862380981
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,2457.2466133219823,3,-1.7999749910086393,1.289782717281631,-3.862799644470215,0.12200003862380981,250.0,0.0,250.0,250.0,1.923847183585167,-0.1437378078699112,0.010309299424989149,0.01832297071814537,0.04811280207015969,-1.7999749910086393,1.289782717281631,-3.862799644470215,0.12200003862380981
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,2453.5323685936323,4,-0.6983250100165606,0.8782480353096634,-2.5271999835968018,0.4747999906539917,249.5,1.9364916731037085,242.0,250.0,1.9122588485479355,-0.16407527774572372,0.02340359496884048,0.034340991638600826,0.10719173175919885,-0.6983250100165606,0.8782480353096634,-2.5271999835968018,0.4747999906539917
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,2519.4081228800073,5,-0.6983250100165606,0.8782480353096634,-2.5271999835968018,0.4747999906539917,249.5,1.9364916731037085,242.0,250.0,1.907089576125145,-0.11271498538553715,0.0005191542586544529,0.006573805323569104,0.036807605730832596,-0.6983250100165606,0.8782480353096634,-2.5271999835968018,0.4747999906539917
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,2447.5363014567083,5,-0.6639250051230192,0.9235823234700034,-3.136000156402588,0.43880000710487366,245.9375,15.733994843967631,185.0,250.0,1.8800580352544785,-0.16352079436182976,0.0371021234896034,0.04048519395291805,0.12512091729617933,-0.6639250051230192,0.9235823234700034,-3.136000156402588,0.43880000710487366
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,2398.240027963859,6,-0.6639250051230192,0.9235823234700034,-3.136000156402588,0.43880000710487366,245.9375,15.733994843967631,185.0,250.0,1.8970374763011932,-0.18422944657504559,-0.020570449996739626,0.004282913025235757,0.04006759267119521,-0.6639250051230192,0.9235823234700034,-3.136000156402588,0.43880000710487366
