update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1137.7467637215755,1,0.04089999943971634,0.15840501668991405,0.0,0.6543999910354614,6.0,23.2379000772445,0.0,96.0,1.9387188404798508,0.017148997692856938,-0.004144895166973583,0.0014454990305239335,0.016787536917962666,0.04089999943971634,0.15840501668991405,0.0,0.6543999910354614
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,2248.3025950425467,2,0.04089999943971634,0.15840501668991405,0.0,0.6543999910354614,240.375,37.27746470724639,96.0,250.0,1.9416688233613968,0.01707657112274319,0.006028809875715524,7.681823080929462e-05,0.0047170656558107,0.04089999943971634,0.15840501668991405,0.0,0.6543999910354614
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,2048.078127980346,3,0.008500000461935997,0.032920360231833465,0.0,0.13600000739097595,249.375,2.4206145913796355,240.0,250.0,1.944769248366356,0.01636314345523715,0.0013234218567959033,5.804762622574344e-05,0.0036514607915039176,0.008500000461935997,0.032920360231833465,0.0,0.13600000739097595
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,2262.978131403368,4,0.023525000549852848,0.06491983146193803,0.0,0.24040000140666962,246.9375,9.588200756659196,211.0,250.0,1.942249208688736,0.012880240916274488,0.0016692297031113412,0.00013256852889753645,0.007738670947137643,0.023525000549852848,0.06491983146193803,0.0,0.24040000140666962
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,2373.12185369026,5,0.015025000087916851,0.058191575117266935,0.0,0.24040000140666962,247.5625,9.44039690638058,211.0,250.0,1.9451717287302017,0.012064685113728046,0.002336548175662756,8.972418811481475e-06,0.0019389548932857426,0.015025000087916851,0.058191575117266935,0.0,0.24040000140666962
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,2365.0876787905636,6,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9452983289957047,0.009380993549712002,0.003275815863162279,1.1650384521999513e-05,0.0014885235449233775,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,2375.9312164058333,7,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9452030956745148,0.009730140794999897,0.0018381434201728553,1.462857915157656e-05,0.0011976905245271571,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,2348.096180282676,8,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9452833980321884,0.007072026492096484,0.0023119712714105844,7.398024365556921e-06,0.001657677659192701,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,2386.9542348753066,8,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.945437714457512,0.005815189273562282,0.0010993749019689858,4.5173850935498194e-06,0.001435754404589379,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,2356.6550475463578,9,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.9455212950706482,0.0039861726108938456,0.0013151729508535936,4.3630097650293465e-06,0.0009951463742671187,0.0,0.0,0.0,0.0
11,22528,2350.311409603845,10,0.0,0.0,0.0,0.0,250.0,0.0,250.0,250.0,1.945702537894249,0.0036439627292566,0.0005858279328094795,1.3371424785191266e-06,0.00042287423193944427,0.0,0.0,0.0,0.0
12,24576,2128.915249196508,11,0.022450000047683716,0.08694847630703474,0.0,0.35920000076293945,245.5,17.428425057933374,178.0,250.0,1.940950185060501,0.005220101214945316,-0.0013541388179874048,0.0001889716068035341,0.0058609936253073095,0.022450000047683716,0.08694847630703474,0.0,0.35920000076293945
13,26624,2298.3606843013013,12,0.02199999988079071,0.08520563315486758,0.0,0.35199999809265137,245.625,16.94430213965745,180.0,250.0,1.937215805053711,0.0034038798621622846,-0.0020728700037579983,0.0003601930893637473,0.007067258039202189,0.02199999988079071,0.08520563315486758,0.0,0.35199999809265137
