model, prediction, actual
Model_B, 6, 32
Model_B, 9, 43
Model_B, 14, 39
Model_B, 8, 29
Model_B, 9, 19
Model_B, 7, 14
Model_B, 9, 32
Model_B, 14, 81
Model_B, 8, 15
Model_B, 9, 52
