model, intentionality_user, intentionality_in_order
Model_A,1.868849091474632,1.868849091474632
Model_A,1.3225549457870027,1.5721499956617755
Model_A,1.103759374819711,1.3225549457870027
Model_A,1.0817041659455104,1.165219463975453
Model_A,1.165219463975453,1.1396893176051912
Model_A,1.0817041659455104,1.123929518447332
Model_A,1.07720715206541,1.103759374819711
Model_A,1.1396893176051912,1.0817041659455104
Model_A,1.123929518447332,1.0817041659455104
Model_A,1.5721499956617755,1.07720715206541
Model_B,1.617707714498588,2.0477971476217123
Model_B,2.0477971476217123,1.722688199617734
Model_B,1.5452693163811646,1.617707714498588
Model_B,1.6017490284543503,1.6017490284543503
Model_B,1.4918275920157604,1.5452693163811646
Model_B,1.722688199617734,1.4918275920157604
Model_B,1.1624283767950063,1.2999418519812036
Model_B,1.2549845533354729,1.2549845533354729
Model_B,1.2999418519812036,1.22749311428574
Model_B,1.22749311428574,1.1624283767950063
Model_C,1.135026479282073,1.390904331267227
Model_C,1.0817041659455104,1.2858454049231165
Model_C,1.390904331267227,1.135026479282073
Model_C,1.0408520829727554,1.0817041659455104
Model_C,1.0814827355018255,1.0814827355018255
Model_C,1.064488427651456,1.064488427651456
Model_C,1.064488427651456,1.064488427651456
Model_C,1.0,1.0408520829727554
Model_C,1.0,1.0
Model_C,1.2858454049231165,1.0
<<<<<<< HEAD
Model_A,1.868849091474632,1.868849091474632
Model_A,1.3225549457870027,1.5721499956617755
Model_A,1.103759374819711,1.3225549457870027
Model_A,1.0817041659455104,1.165219463975453
Model_A,1.165219463975453,1.1396893176051912
Model_A,1.0817041659455104,1.123929518447332
Model_A,1.07720715206541,1.103759374819711
Model_A,1.1396893176051912,1.0817041659455104
Model_A,1.123929518447332,1.0817041659455104
Model_A,1.5721499956617755,1.07720715206541
Model_A,1.868849091474632,1.868849091474632
Model_A,1.3225549457870027,1.5721499956617755
Model_A,1.103759374819711,1.3225549457870027
Model_A,1.0817041659455104,1.165219463975453
Model_A,1.165219463975453,1.1396893176051912
Model_A,1.0817041659455104,1.123929518447332
Model_A,1.07720715206541,1.103759374819711
Model_A,1.1396893176051912,1.0817041659455104
Model_A,1.123929518447332,1.0817041659455104
Model_A,1.5721499956617755,1.07720715206541
Model_A,1.868849091474632,1.868849091474632
Model_A,1.3225549457870027,1.5721499956617755
Model_A,1.103759374819711,1.3225549457870027
Model_A,1.0817041659455104,1.165219463975453
Model_A,1.165219463975453,1.1396893176051912
Model_A,1.0817041659455104,1.123929518447332
Model_A,1.07720715206541,1.103759374819711
Model_A,1.1396893176051912,1.0817041659455104
Model_A,1.123929518447332,1.0817041659455104
Model_A,1.5721499956617755,1.07720715206541
=======
>>>>>>> 4db1aee2f0124866eb5b2ce486cb9e10aadd2c0e
